264
Term TF-IDF
monica 0.01283178685457
sele 0.066549670104656
becam 0.0083124568087778
player 0.009027989111399
reach 0.0062194066953734
australian 0.027611513782981
open 0.021032146661473
win 0.0099615899614539
minut 0.015582327421525
mondai 0.0040590288495462
brie 0.019722538534176
rippner 0.076781641346291
retir 0.007555164152671
sprain 0.019138634443922
left 0.004419042291542
ankl 0.018186685851948
seed 0.040246572092274
fourth 0.019186375178758
led 0.0074056232020127
stumbl 0.016793788957534
baselin 0.014977224259573
tumbl 0.018632833714283
court 0.018697774012243
receiv 0.0073091115152666
treatment 0.012351666757452
trainer 0.01625174030738
decid 0.0084709685888365
continu 0.0050852948160256
tournament 0.032761026292411
mild 0.019138634443922
sunni 0.021258391216404
weather 0.010582640238105
upset 0.012262536085443
earli 0.0061311071542051
match 0.027231591121876
defend 0.014523524827774
champion 0.034145113846778
andr 0.011129040271607
agassi 0.019095336913709
sixth 0.012262536085443
sail 0.015561128349827
set 0.0034022374629945
beat 0.032583238314774
jiri 0.017426569581258
vanek 0.018186685851948
felt 0.01813135951714
stai 0.0064401222564491
solid 0.01625174030738
start 0.0060277949651155
finish 0.021165280476209
mani 0.002297698972947
result 0.0063465896330007
hard 0.0084387311279732
confid 0.010362991534884
injuri 0.0099585673855439
provid 0.0081306037057992
strang 0.017787592989608
vodafon 0.019138634443922
arena 0.014316794762812
seat 0.0057812082143149
stadium 0.015561128349827
melbourn 0.02700395786186
park 0.0089906698066906
retract 0.01625174030738
roof 0.013381718710041
foot 0.0081902565731027
wa -0.017670630436512
tricki 0.019722538534176
improv 0.029591596449752
progress 0.023851227579853
plai 0.019366634327927
definit 0.012442945361918
lot 0.0067559616842485
stickier 0.021258391216404
outsid 0.0060277949651155
practic 0.012536477985366
right 0.0045203586111141
glue 0.021258391216404
badli 0.012442945361918
friend 0.0086703766702207
fellow 0.012442945361918
american 0.0010222766256284
becaus 0.0025265446680186
battl 0.0093815191863695
viru 0.019138634443922
antibiot 0.020413150491729
glad 0.016793788957534
point 0.0041718021765677
rest 0.0089171164511713
coupl 0.011691237260691
dai 0.00096829169113143
grade 0.019722538534176
fever 0.019722538534176
realli 0.0074301403024128
weak 0.013381718710041
marat 0.0140252756676
safin 0.039834269542175
sign 0.0071231660220979
sore 0.017787592989608
elbow 0.034193962064111
bother 0.018186685851948
galo 0.018632833714283
blanco 0.015777637493161
serv 0.0076480926163692
mph 0.016007276212162
moment 0.0074796557628952
hopefulli 0.016513076941801
thi -0.0034911307043159
russian 0.0030925179376287
gustavo 0.015777637493161
kuerten 0.0140252756676
mark 0.0090656797585701
lost 0.0061136915888694
grant 0.010155384578463
stafford 0.021258391216404
fine 0.011000625303138
tank 0.01388751943968
men 0.0040188387771522
titl 0.027779917621023
pete 0.011691237260691
sampra 0.0086027341800692
achiev 0.01326515939691
feat 0.018632833714283
twice 0.012175454577016
optimist 0.017096981032055
hi -0.0039124079105111
chanc 0.0084709685888365
game 0.0071005517532096
power 0.0020579965110245
everyth 0.0091422051650759
grand 0.016501727853375
slam 0.016877462255946
eighth 0.014471423529934
tim 0.016007276212162
henman 0.031122256699655
juan 0.014977224259573
carlo 0.01350197893093
ferrero 0.030324070974974
advanc 0.0098173878597968
hicham 0.019722538534176
arazi 0.018632833714283
swept 0.012632378773185
alun 0.019722538534176
jone 0.013754597773728
women 0.0080718757264963
jennif 0.011330213852341
capriati 0.0076322084111449
ralli 0.0065360230442684
henrieta 0.022348096036297
nagyova 0.022348096036297
anna 0.014977224259573
kournikova 0.012730770767137
daniela 0.019722538534176
hantuchova 0.019722538534176
slovakia 0.017096981032055
sandrin 0.017787592989608
testud 0.018186685851948
elimin 0.012536477985366
maria 0.015561128349827
antonia 0.019138634443922
sanchez 0.017426569581258
lorenzo 0.019722538534176
kim 0.014632634190612
clijster 0.01625174030738
anca 0.021258391216404
barna 0.021258391216404
befor 0.0023746128599195
lose 0.0090656797585701
martina 0.012262536085443
hingi 0.020902890261774
semifin 0.010055697804534
ago 0.0054902786263461
alwai 0.016687265883741
look 0.0046127504790086
ha -0.0025274385970117
favor 0.011616227308812
draw 0.010876421428809
venu 0.018600112575611
william 0.014637302555406
serena 0.010639601894789
bid 0.011330213852341
try 0.0043095584044876
consecut 0.01350197893093
lindsai 0.011542673953292
davenport 0.0084709685888365
