126
Term TF-IDF
secretari 0.023765895741363
gener 0.017834585895215
haviar 0.04682458217129
perez 0.085650291918773
dequia 0.13362417336026
ha -0.015886756895502
sworn 0.027556739028845
prime 0.031448092149773
minist 0.031066131034474
peru 0.053136008987737
wa -0.037024178057453
appoint 0.018837593880685
interim 0.028550097306258
presid -0.017877209629783
valentin 0.05293568247811
paniagua 0.036049552754576
lead 0.011722608923717
countri 0.0019635569310622
elect 0.00037254501861092
schedul 0.019743255045506
april 0.040200024184064
meanwhil 0.041933346278746
alberto 0.020966673139373
fujimori 0.014007970482963
oust 0.023317989140509
congress 0.023255875452747
moral 0.024819909772561
unfit 0.033057907128527
rule 0.010572086937605
return 0.018990337569421
continu 0.021309806848107
career 0.023048929206575
polit 0.0063172549608149
clair 0.07621087404626
marshal 0.067078109841442
report 0.00626294948651
peruvian 0.017416576170773
capit 0.012523608277606
lima 0.074961000965251
eighti 0.042770410554099
habiar 0.055543727319449
formal 0.02498700032175
assum 0.024656264636032
role 0.020009308156924
ceremoni 0.022788692517504
central 0.019485832222068
unit 0.0031422361115973
nation 0.0036998043653036
ran 0.025692932750453
hold 0.014329784058416
posit 0.017160537581739
foreign 0.010144427505105
select 0.032175163992731
caretak 0.042770410554099
help 0.0062055836600455
prepar 0.016045840474841
free 0.015883312448305
fair 0.024495925689067
month 0.0083578494733653
hi -0.024592278294641
accept 0.015465505039691
speech 0.019401847227381
prioriti 0.02498700032175
cabinet 0.02373949569062
ensur 0.02732667921239
thi -0.007314750047138
process 0.016731432651023
imparti 0.042770410554099
transpar 0.034598827878058
ex 0.02373949569062
leader 0.0043495176198923
told 0.0082137325288266
tokyo 0.026266906255053
consid 0.015724046074886
run 0.0084204241045093
deni 0.01816650349951
alleg 0.019743255045506
corrupt 0.016912501522183
sai -0.0017666306026341
chief 0.011111807009938
advisor 0.037269242454417
vladimero 0.055543727319449
montecino 0.03651281245597
blame 0.022788692517504
slur 0.055543727319449
voa 0.017748696090896
news 0.0057290964516584
