353
Term TF-IDF
american 0.0030581419735513
businessman 0.0081342075274944
edmund 0.0097539988123546
pope 0.01500199745214
todai 0.0061668495952218
formal 0.0089188726360922
ask 0.0041170883789548
russian 0.018502543581506
presid -0.0079763754013906
vladimir 0.020956743476748
putin 0.041742088637027
pardon 0.014228728256998
wa -0.022025714991686
sentenc 0.008506183665481
yesterdai 0.01454783480684
hard 0.0063111190305522
labor 0.010489158006363
moscow 0.015535628729851
court 0.016780325232517
guilti 0.0073769418911563
spy 0.020598855499268
prosecutor 0.0068956415036339
illeg 0.0088008196717846
classifi 0.0089188726360922
blueprint 0.01278641074352
speed 0.016360542651996
torpedo 0.007142132656579
compani 0.0067799984596672
analyz 0.015266492152455
foreign 0.0072419142529359
maritim 0.01179970622718
equip 0.0066688916235389
ha -0.030243344571608
maintain 0.0085785204778994
hi -0.0058519869029741
innoc 0.009674194628313
citizen 0.0070784701754117
jail 0.01645419308798
espionag 0.0087435882062959
sinc 0.0068685062583353
cold 0.017264962740335
war 0.0042738965529001
world 0.0048525339187719
nenad 0.050953431453094
chebeck 0.024699446530512
despit 0.006015049062463
appeal 0.025148851548318
clemenc 0.0081342075274944
clinton -0.00072737204899834
thi -0.011749187752768
legal 0.007142132656579
option 0.015580818131452
doe 0.012527013594723
confid 0.015500451927531
sai -0.001891746084407
pretti 0.0086874901119725
judici 0.010489158006363
suprem 0.0077106048816843
frankli 0.013935037112098
faster 0.013032901896465
wai 0.0088375016720552
freedom 0.0083724033269577
becaus 0.0056686214647896
process 0.0059721261020647
month 0.0059665101056319
known 0.0047742313405349
ill 0.010007857618841
health 0.006985581158916
definit 0.0093057721686864
lefortovo 0.01197144736547
prison 0.0023659910431047
appear 0.011898762180614
latest 0.0079144958154664
sign 0.005327240311144
right 0.0033806647969805
lot 0.0050526172369451
outcom 0.0082270965439901
highli 0.009521029695536
uncertain 0.012154276037248
timet 0.014313313011885
request 0.0074838550015893
turn 0.0043236231404508
pass 0.021141502569975
presidenti 0.010193345505298
commiss 0.034836652663843
correct 0.010190686290619
happen 0.0047882208069388
actual 0.013971162317832
veri 0.0057751404688739
quickli 0.00720725877053
case 0.014558377753442
drag 0.01197144736547
coupl 0.0087435882062959
april 0.0071745085654278
rd 0.011069312149837
ball 0.0093057721686864
realli 0.011113637619473
start 0.004508039294024
roll 0.010489158006363
wrote 0.0083231349340062
offic 0.00143848755736
announc 0.0044328261719444
alreadi 0.0046917149866453
head 0.0077874908558825
state -0.0034484657998867
televis 0.0041842740067659
recommend 0.0083724033269577
meet 0.0041729651646425
tomorrow 0.0088008196717846
difficult 0.0067799984596672
envisag 0.019825806351985
russia 0.020640879562212
rel 0.0069253052426347
institut 0.014349017130856
assum 0.017601639343569
number 0.015204165632373
involv 0.014620920535581
perhap 0.016268415054989
preced 0.013302902405826
toni 0.019348389256626
mention 0.0088592312502626
trial 0.010357085819901
alleg 0.0070471675233251
gari 0.026605804811652
power 0.0030782497388696
shot 0.0065619785131059
guilt 0.015898626858727
fairli 0.01197144736547
firmli 0.01278641074352
establish 0.0085255682597346
ani 0.011188663118328
suspect 0.0038330389365648
spi 0.027202748243141
usual 0.0091708485171588
sort 0.0071101225850381
simpli 0.017157040955799
kick 0.012349723265256
countri 0.001401746024441
expel 0.015266492152455
thei -0.0020999569862836
arrest 0.01007452587633
swap 0.014750000490149
western 0.010136110421582
respond 0.0082270965439901
event 0.0066417826971475
indic 0.0068662851664227
incid 0.0080442678722123
embarrass 0.013032901896465
mai 0.0030356476381875
import 0.0047882208069388
wider 0.01360137412157
scale 0.010596071116796
public 0.0090160785880481
strong 0.0059721261020647
care 0.0073421824220576
secret 0.0061478637533946
know 0.0068859392563854
polic 0.0018794770276276
job 0.011494030270111
feder 0.0039873163222089
secur 0.0015614837952107
servic 0.0035657697735733
convict 0.0035385740972871
necess 0.017862216605356
pursu 0.0088008196717846
order 0.0049916931428347
magnanim 0.016713590236778
ey 0.0074838550015893
opinion 0.010386133518627
certainli 0.023131814645053
guess 0.010707177952925
reason 0.0063595451873774
direct 0.0069253052426347
effort 0.0041170883789548
sure 0.0058268193190972
relat 0.0054308931367313
affect 0.0099206857812581
congress 0.0041504820213118
exampl 0.0081342075274944
introduc 0.023942894730939
econom 0.0059721261020647
sanction 0.012817627160658
administr 0.01026132485218
willing 0.027202748243141
deepli 0.010707177952925
secretari 0.0042415054722546
madelein 0.0091708485171588
albright 0.0075574399489073
rais 0.0062872128870795
issu 0.0040514593158343
help 0.0022150241959369
smooth 0.01360137412157
futur 0.0060586324019516
thank 0.0059089369872933
welcom 0.0084735876969352
